id,value
id_0,0.42958185747
id_1,0.444578072087
id_2,0.655291483449
id_3,0.567916309813
id_4,0.268544577868
id_5,0.442943021668
id_6,0.829681610074
id_7,0.395326423471
id_8,0.477589040319
id_9,0.351480877329
id_10,0.542680415621
id_11,0.716303972094
id_12,0.5658408115
id_13,0.401045554587
id_14,0.410461489751
id_15,0.3944753987
id_16,0.768287188919
id_17,0.408065715724
id_18,0.337448196585
id_19,0.280396090087
id_20,0.361553378767
id_21,0.685482645925
id_22,0.800438132091
id_23,0.459616122838
id_24,0.830792576873
id_25,0.476496082523
id_26,0.61265009852
id_27,0.391192121373
id_28,0.691620631305
id_29,0.423562506361
id_30,0.410995899427
id_31,0.362627286093
id_32,0.444605743952
id_33,0.39187968828
id_34,0.453721051577
id_35,0.789636198655
id_36,0.68739280873
id_37,0.759623080513
id_38,0.488699876022
id_39,0.716512216232
id_40,0.747753065355
id_41,0.596508806167
id_42,0.651789028994
id_43,0.510932189544
id_44,0.693685345873
id_45,0.803345899939
id_46,0.574887722809
id_47,0.601501547829
id_48,0.458219182629
id_49,0.602562449705
id_50,0.469970983731
id_51,0.489376156564
id_52,0.760980039738
id_53,0.438120421374
id_54,0.770894156426
id_55,0.642811459283
id_56,0.512927877294
id_57,0.404012414466
id_58,0.671169576003
id_59,0.828180189897
id_60,0.542067711053
id_61,0.846520734922
id_62,0.698842223444
id_63,0.755648347795
id_64,0.684927323735
id_65,0.56203549131
id_66,0.847144870914
id_67,0.709872961389
id_68,0.478877505753
id_69,0.639204113471
id_70,0.583602000711
id_71,0.791170116084
id_72,0.633616652081
id_73,0.500798863768
id_74,0.490196551242
id_75,0.519635708544
id_76,0.608012722357
id_77,0.490260473438
id_78,0.766925337841
id_79,0.544865144547
id_80,0.410042270871
id_81,0.556313457924
id_82,0.438548440892
id_83,0.773257187602
id_84,0.470267208483
id_85,0.455874606416
id_86,0.523331923358
id_87,0.5299504153
id_88,0.613205898474
id_89,0.574507460198
id_90,0.671571830492
id_91,0.502668592099
id_92,0.600529971135
id_93,0.502192323506
id_94,0.728880118218
id_95,0.605092914814
id_96,0.58540310199
id_97,0.484697172392
id_98,0.467057756978
id_99,0.598416976997
id_100,0.469058633642
id_101,0.641520526107
id_102,0.561987274073
id_103,0.528233415263
id_104,0.408784389682
id_105,0.548374986989
id_106,0.578453218187
id_107,0.544473151543
id_108,0.597669744461
id_109,0.513672522283
id_110,0.454694899629
id_111,0.393942508782
id_112,0.544313224265
id_113,0.562723453116
id_114,0.547097295814
id_115,0.529374828815
id_116,0.530644067616
id_117,0.582507137391
id_118,0.769207551829
id_119,0.449320275535
id_120,0.508223209498
id_121,0.51406146267
id_122,0.43379656734
id_123,0.502488184574
id_124,0.580094534187
id_125,0.43991822849
id_126,0.593720556588
id_127,0.408970352245
id_128,0.387731237861
id_129,0.535196443121
id_130,0.520399375779
id_131,0.527941534481
id_132,0.696122739865
id_133,0.558892658955
id_134,0.545915158491
id_135,0.393911360996
id_136,0.359516469402
id_137,0.542498239159
id_138,0.664122822069
id_139,0.658382830428
id_140,0.665996382059
id_141,0.269061380748
id_142,0.421356108222
id_143,0.418620801829
id_144,0.40724703643
id_145,0.38757483378
id_146,0.50544917836
id_147,0.432261536796
id_148,0.69959242159
id_149,0.704613135862
id_150,0.632471868899
id_151,0.759498675896
id_152,0.473101542383
id_153,0.3891638074
id_154,0.743876716287
id_155,0.762758114593
id_156,0.536263568855
id_157,0.491927542069
id_158,0.41892311446
id_159,0.616088555199
id_160,0.781923924765
id_161,0.438925263572
id_162,0.555395152662
id_163,0.419175756976
id_164,0.420680394201
id_165,0.479287735029
id_166,0.611143515403
id_167,0.582440113654
id_168,0.910387477093
id_169,0.74843223424
id_170,0.45694025929
id_171,0.657821947771
id_172,0.617513784018
id_173,0.438980741775
id_174,0.843087075222
id_175,0.612940462027
id_176,0.435310322091
id_177,0.664281405436
id_178,0.585253771629
id_179,0.76045390467
id_180,0.466142666808
id_181,0.516035632896
id_182,0.70340151725
id_183,0.403468553946
id_184,0.308450423498
id_185,0.465492036891
id_186,0.572399766458
id_187,0.661176629147
id_188,0.422327397558
id_189,0.497980441111
id_190,0.354390918707
id_191,0.342461969937
id_192,0.402405909208
id_193,0.63010846105
id_194,0.736433007552
id_195,0.624345939067
id_196,0.895026798702
id_197,0.287574876393
id_198,0.616217301294
id_199,0.788181056976
id_200,0.779586348115
id_201,0.486197791013
id_202,0.728019660189
id_203,0.366301781276
id_204,0.844450716706
id_205,0.601975882469
id_206,0.364386115962
id_207,0.522941728879
id_208,0.752332548656
id_209,0.448368080933
id_210,0.437606639517
id_211,0.767986603864
id_212,0.434787328183
id_213,0.667301519456
id_214,0.611330237161
id_215,0.984260176708
id_216,0.748209191631
id_217,0.672736683475
id_218,0.703064305759
id_219,0.492955544017
id_220,0.456750172405
id_221,0.745681794007
id_222,0.412325945584
id_223,0.512325114071
id_224,0.359600118819
id_225,0.406220108138
id_226,0.489682601585
id_227,0.426219456066
id_228,0.593829003586
id_229,0.272020466003
id_230,0.407370513575
id_231,0.42339796772
id_232,0.440179472171
id_233,0.509100986084
id_234,0.537498489897
id_235,0.616396106519
id_236,0.434069712619
id_237,0.34647656375
id_238,0.424368609362
id_239,0.366379229391
